id,name,peak,album,albumIndex,isAltVersion,isSingle,isBonus,isVault,isTv
"1RvQQGwaPipiNgz8RXAKA8","Red",6,"Red (Deluxe Edition)",4,0,1,0,0,0
"0XfOV7qY3834QpFVwOb6CC","Treacherous",0,"Red (Deluxe Edition)",4,0,0,0,0,0
"0ciHz919LVKoH4zgxyMPZ9","I Knew You Were Trouble.",2,"Red (Deluxe Edition)",4,0,1,0,0,0
"1q3RiD1tIWUpGsNFADMlvl","All Too Well",80,"Red (Deluxe Edition)",4,0,0,0,0,0
"3bIxTsfeNMO7Nt2J3EUKrA","22",20,"Red (Deluxe Edition)",4,0,1,0,0,0
"31pEV5lPJi7btskZoUr2yu","I Almost Do",65,"Red (Deluxe Edition)",4,0,0,0,0,0
"1OYARuagDrpgNNQ4loO1Cs","We Are Never Ever Getting Back Together",1,"Red (Deluxe Edition)",4,0,1,0,0,0
"1x0J8LFX23d5h1zzuzZorc","Stay Stay Stay",91,"Red (Deluxe Edition)",4,0,0,0,0,0
"7vvIpJZye5cRR6De1LKM0m","The Last Time",0,"Red (Deluxe Edition)",4,0,1,0,0,0
"5d2Kn9oAAh9S2EbyCo1i52","Holy Ground",0,"Red (Deluxe Edition)",4,0,0,0,0,0
"5QKhg4r4Ibt0LVTmWEXTEg","Sad Beautiful Tragic",0,"Red (Deluxe Edition)",4,0,0,0,0,0
"2wtHlpYSgC7xEdD3DrSHNL","The Lucky One",0,"Red (Deluxe Edition)",4,0,0,0,0,0
"7gdwoOmi258QJq0hmQ4hto","Everything Has Changed",32,"Red (Deluxe Edition)",4,0,1,0,0,0
"0vqI4ZIMuifeKeItGiWbPj","Starlight",0,"Red (Deluxe Edition)",4,0,0,0,0,0
"48A0aShHlovDfTMucMrE66","Begin Again",7,"Red (Deluxe Edition)",4,0,1,0,0,0
"5AsmAjBSSQjRPWgAYIp8tm","The Moment I Knew",64,"Red (Deluxe Edition)",4,0,0,1,0,0
"4qyalTRMRH5YuEntvvMvq0","Come Back...Be Here",0,"Red (Deluxe Edition)",4,0,0,1,0,0
